,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep,maxdep,SSP119,SSP434,SSP585
O3,2.130105828035485,2.3845019707223223,2.416829362474907,2.41402156248909,2.5920122071434633,2.0603817354356377,2.2183185640699827,1.8932657896002123,2.6227454219324318,2.140647454974333,2.271911774839099,2.48046782114609,2.0459450922806024,2.007153175141348
strat H2O,1.8714807211489919,1.8715240053896245,1.8784524734015124,1.8980958717608076,2.0527662925900105,1.5738402605902955,1.6894779495319334,1.4529792781154585,2.0538688816819524,1.6463049327130874,1.7961116358364,1.9515254584486497,1.9598083541351463,1.9158778619088956
O3 CH4ind,2.7901659323474224,2.811570821188694,2.8026290476139795,2.6607971146175986,3.2457267064156885,2.525080023026509,2.7038129584869894,2.319217943449343,3.248215156601543,2.6692537002969603,2.579251791854015,2.9370023014216415,2.7901427274009416,3.030946960650351
strat H2O CH4ind,0.6522421373709679,0.6572458435255598,0.6551555730363948,0.6220002821440048,0.7587361381527323,0.5902744249571995,0.632055865441369,0.5421511498392652,0.7593178498169548,0.6239771328590185,0.6029378690468822,0.7296366962467908,0.788891833348579,0.8275914290867953
CH4dir,3.264322472940957,3.2893648759268554,3.2789035509965005,3.112968915750194,3.797300549743112,2.954188268726002,3.16329480648216,2.7133423015025633,3.8002118833560354,3.122862600694682,3.0175659052788992,3.1773545722173973,3.1765875341265515,3.429958633395952
CH4indir,1.5165222041361566,1.5281562753677358,1.5232962066480935,1.4462071442554485,1.764130427431586,1.3724416450453318,1.4695872886408767,1.2605506599791636,1.765482959880278,1.450803501699732,1.4018853026112914,1.6379646488249886,2.2631133786307567,2.3127510052754334
