,h2_burden,h2_burden_delta,h2_loss,h2_atm_loss,h2_soil_sink_loss
10CH4_SSP119,188.1276975786667,7.149356373333376,78.57992072353098,25.154036442003054,53.42588428152792
10CH4_SSP434,234.93176388266667,9.956788906666645,94.75101789445571,28.617554661824883,66.13346323263083
10CH4_SSP585,245.20931464533336,11.091505152000053,100.33369304426829,31.397362283764437,68.93633076050385
CNTR_SSP119,180.97834120533332,0.0,76.4485254123912,24.943170580596018,51.50535483179519
CNTR_SSP434,224.97497497600003,0.0,91.76935499884075,28.304495624217104,63.46485937462365
CNTR_SSP585,234.1178094933333,0.0,96.9715595371224,31.013814055627265,65.95774548149514
antro10_SSP119,202.8024832,21.82414199466669,86.35339693475065,27.819832978220177,58.53356395653047
antro10_SSP434,247.34954291200003,22.374567936000005,101.66657173626628,31.01466067142654,70.65191106483974
antro10_SSP585,256.0896109226667,21.971801429333368,106.86244091695649,33.832278702050175,73.03016221490631
