,antro01,antro1,antro10,antro100,nemo,epia,munich,usdrydep,maud,zep,maxdep,SSP119,SSP434,SSP585
O3,9.17081022662565,9.17081022662565,9.17081022662565,9.17081022662565,9.17081022662565,9.17081022662565,9.17081022662565,9.17081022662565,9.17081022662565,9.17081022662565,9.17081022662565,9.917662717847783,9.424022673320643,9.481131803924484
CH4,15.713839362793946,15.713839362793946,15.713839362793946,15.713839362793946,15.713839362793946,15.713839362793946,15.713839362793946,15.713839362793946,15.713839362793946,15.713839362793946,15.713839362793946,16.260359036815018,18.37320515343704,17.963820450433804
strat H2O,2.143811159863677,2.143811159863677,2.143811159863677,2.143811159863677,2.143811159863677,2.143811159863677,2.143811159863677,2.143811159863677,2.143811159863677,2.143811159863677,2.143811159863677,2.46383554294041,2.6645714039151946,2.588796016835116
