,CH4 burden [Tg],CH4 surface conc. [ppbv],CH4 chem loss OH [Tg/yr],CH4 chem loss other strat [Tg/yr],CH4 loss soil [Tg/yr],CH4 total loss [Tg/yr],CH4 lifetime due to OH (whole atmosphere) [yrs],Total CH4 lifetime [yrs]
CTRL,4975.012173141334,1813.060158629511,674.1606922542796,20.72921738808889,31.093826082133337,725.9837357245018,7.379564294242271,6.8527873674421595
CNTR_SSP119,3916.271386624,1426.8783439503993,510.9284240509576,16.317797444266667,24.4766961664,551.7229176616243,7.665009817957221,7.098257587744212
CNTR_SSP434,6104.016748544001,2222.8117674568466,723.7628962957829,25.433403118933334,38.150104678400005,787.3464040931162,8.433724331247632,7.752644473654195
CNTR_SSP585,6712.61065216,2445.8181541184977,840.5200350663636,27.96921105066667,41.953816576,910.4430626930302,7.986258949353901,7.372905486593024
